Municipi;Codi;Altitud (m);Superfície (km²);Població;longitud;latitud
Castelló de Farfanya;250693;358;52,62;543;0.72755023;41.82037039
Castellolí;80636;415;25,28;659;1.70068389;41.59835563
Castellserà;250707;267;15,84;992;0.98695869;41.74690001
Castellterçol;80641;726;31,90;2766;2.12053476;41.75148279
Castellvell del Camp;430424;219;5,21;2991;1.09626892;41.18117702
Castellví de la Marca;80654;198;28,40;1714;1.62094771;41.32654553
Castellví de Rosanes;80667;178;16,38;2098;1.90029141;41.44878533
Catllar, el;430430;59;26,43;5215;1.32625084;41.17538073
Cava;250714;1335;42,19;40;1.585329;42.3257107
Cellera de Ter, la;171899;166;14,63;2013;2.6207366;41.96830412
Celrà;170499;71;19,53;5553;2.87894731;42.02469081
Centelles;80673;496;15,18;7771;2.21907094;41.79750909
Cercs;82687;650;47,35;1193;1.86074923;42.14598452
Cerdanyola del Vallès;82665;82;30,56;57831;2.14057196;41.4913073
Cervelló;80689;122;24,10;9633;1.95910432;41.39610701
Cervera;250729;548;55,19;9553;1.2710202;41.66574175
Cervià de les Garrigues;250735;444;34,20;640;0.85896908;41.42495271
Cervià de Ter;170502;45;9,90;997;2.90965017;42.06771242
Cistella;170519;130;25,55;294;2.84727507;42.26868136
Ciutadilla;250740;519;17,03;194;1.13928451;41.56163552
Clariana de Cardener;250753;500;40,78;160;1.62502833;41.93384621
Cogul, el;250766;279;17,51;162;0.68945469;41.46701995
Colera;170545;10;24,35;490;3.15076621;42.40384875
Coll de Nargó;250772;573;151,41;583;1.31577047;42.17470995
Collbató;80692;388;18,07;4847;1.82816787;41.57028657
Colldejou;430458;431;14,48;161;0.88752063;41.09950399
Collsuspina;80706;901;15,08;390;2.17521281;41.82560516
Colomers;170558;41;4,35;205;2.98759473;42.0841721
Coma i la Pedra, la;251636;1004;60,62;283;1.59134934;42.17560228
Conca de Dalt;251615;507;166,48;435;0.97163744;42.24443678
Conesa;430461;705;29,02;113;1.2912073;41.51858253
Constantí;430477;81;30,87;6921;1.21259244;41.15385445
Copons;80713;432;18,66;352;1.51870774;41.63711085
Corbera d'Ebre;430483;337;53,09;1016;0.47794795;41.07766043
Corbera de Llobregat;80728;342;18,41;15783;1.92304224;41.41779856
Corbins;250788;211;21,01;1483;0.69298982;41.69062161
Corçà;170577;43;16,29;1282;3.01783504;41.98941249
Cornellà de Llobregat;80734;27;6,99;91196;2.07053455;41.35574736
Cornellà del Terri;170561;96;27,71;2394;2.81602089;42.09002599
Cornudella de Montsant;430496;533;63,50;1033;0.90580747;41.26564638
Creixell;430509;48;10,46;4169;1.44069294;41.16774336
Crespià;170583;138;11,38;251;2.79847983;42.18712202
Cruïlles, Monells i Sant Sadurní de l'Heura;179011;110;99,84;1323;3.01219622;41.9564846
Cubelles;80749;12;13,49;17300;1.67237288;41.20831289
Cubells;250791;499;39,17;342;0.95889945;41.85159097
Cunit;430516;10;9,74;15750;1.63446619;41.1984463
Darnius;170600;193;34,93;549;2.83195833;42.36855278
Das;170617;1219;14,58;270;1.87012501;42.36109232
Deltebre;439018;6;107,44;11941;0.73525919;40.71822153
Dosrius;80752;147;40,73;6152;2.40675598;41.59434162
Duesaigües;430537;268;13,58;223;0.93080031;41.14611306
Escala, l';170622;14;16,31;10630;3.13250206;42.12479044
Esparreguera;80765;187;27,40;22499;1.87041161;41.53901438
Espinelves;170638;752;17,43;254;2.41726622;41.86898054
Espluga Calba, l';250812;434;21,53;332;1.00365052;41.4950131
Espluga de Francolí, l';430542;411;56,97;3850;1.10444334;41.39663891
Esplugues de Llobregat;80771;110;4,60;47700;2.08800477;41.37752166
Espolla;170643;124;43,55;412;3.00086564;42.391085
Esponellà;170656;142;16,06;438;2.79507325;42.17893414
Espot;250827;1318;97,30;379;1.08896085;42.57581977
Espunyola, l';80787;803;35,46;263;1.77022229;42.05301563
Esquirol, l';82541;693;61,80;2275;2.37009534;42.03482801
Estamariu;250886;1084;21,16;133;1.52267665;42.37306415
Estany, l';80790;870;10,25;401;2.11230779;41.86897946
Estaràs;250851;596;20,99;162;1.3782537;41.69158635
Esterri d'Àneu;250864;957;8,49;920;1.1222764;42.62864206
Esterri de Cardós;250870;1212;16,55;63;1.26172012;42.59266799
Falset;430555;364;31,62;2875;0.82011839;41.14598035
Far d'Empordà, el;170059;44;9,00;626;2.99623532;42.25167974
Farrera;250899;1294;61,87;128;1.27309862;42.50446939
Fatarella, la;430568;487;56,52;856;0.47325017;41.16236913
Febró, la;430574;754;16,08;36;1.00397576;41.2772877
Figaró-Montmany;81347;330;14,99;1190;2.27420797;41.72350778
Fígols;80804;1154;29,31;42;1.33956335;42.20286242
Fígols i Alinyà;259084;602;101,80;244;1.3410932;42.20335296
Figuera, la;430580;576;18,69;123;0.73146929;41.21617339
Figueres;170669;39;19,30;48670;2.96079686;42.26725303
Figuerola del Camp;430593;474;22,72;346;1.26496538;41.37144108
Flaçà;170675;34;6,53;1145;2.95773531;42.04707389
Flix;430607;47;116,90;3323;0.55017017;41.2319023
Floresta, la;250925;316;5,46;164;0.91958904;41.51038466
Fogars de la Selva;80826;45;32,12;1678;2.67164436;41.73501147
Fogars de Montclús;80811;386;39,72;503;2.44352087;41.72793648
Foixà;170681;85;18,80;291;2.99654593;42.03966126
Folgueroles;80832;552;10,47;2262;2.31893937;41.93868614
Fondarella;250931;243;5,43;807;0.87447412;41.63468324
Fonollosa;80847;525;51,67;1584;1.66869224;41.76339325
Fontanals de Cerdanya;170694;1180;28,65;531;1.90029028;42.38502728
Fontanilles;170708;29;9,28;168;3.10709703;42.00994757
Fontcoberta;170715;207;17,28;1501;2.78908297;42.14295457
Font-rubí;80850;319;37,42;1432;1.65311966;41.41394879
Foradada;250946;455;28,55;200;1.01244569;41.87677525
Forallac;179026;51;50,63;1761;3.05609612;41.96049386
Forès;430614;866;16,03;40;1.23810933;41.49446129
Fornells de la Selva;170736;102;11,86;2780;2.81223766;41.93092034
Fortià;170741;8;10,76;801;3.04070454;42.24200839
Franqueses del Vallès, les;80863;181;29,14;20667;2.300532;41.62892348
Freginals;430629;126;17,59;425;0.52003631;40.67172661
Fuliola, la;250962;275;11,05;1249;1.01852544;41.71301072
Fulleda;250978;581;16,18;92;1.02433158;41.46361526
Gaià;80902;481;39,48;178;1.92564492;41.91649272
Galera, la;430635;112;27,47;717;0.46337346;40.68163896
Gallifa;80879;502;16,33;174;2.11545262;41.69323491
Gandesa;430640;363;71,15;3160;0.43921435;41.052136
Garcia;430653;73;52,37;540;0.65012538;41.13698576
